Date,Year,Quarter,MonthName,MonthNum,DayOfWeek
18-05-2022,2022,Q2,May,5,Wednesday
19-05-2022,2022,Q2,May,5,Thursday
20-05-2022,2022,Q2,May,5,Friday
21-05-2022,2022,Q2,May,5,Saturday
22-05-2022,2022,Q2,May,5,Sunday
23-05-2022,2022,Q2,May,5,Monday
24-05-2022,2022,Q2,May,5,Tuesday
25-05-2022,2022,Q2,May,5,Wednesday
26-05-2022,2022,Q2,May,5,Thursday
27-05-2022,2022,Q2,May,5,Friday
28-05-2022,2022,Q2,May,5,Saturday
29-05-2022,2022,Q2,May,5,Sunday
30-05-2022,2022,Q2,May,5,Monday
31-05-2022,2022,Q2,May,5,Tuesday
01-06-2022,2022,Q2,June,6,Wednesday
02-06-2022,2022,Q2,June,6,Thursday
03-06-2022,2022,Q2,June,6,Friday
04-06-2022,2022,Q2,June,6,Saturday
05-06-2022,2022,Q2,June,6,Sunday
06-06-2022,2022,Q2,June,6,Monday
07-06-2022,2022,Q2,June,6,Tuesday
08-06-2022,2022,Q2,June,6,Wednesday
09-06-2022,2022,Q2,June,6,Thursday
10-06-2022,2022,Q2,June,6,Friday
11-06-2022,2022,Q2,June,6,Saturday
12-06-2022,2022,Q2,June,6,Sunday
13-06-2022,2022,Q2,June,6,Monday
14-06-2022,2022,Q2,June,6,Tuesday
15-06-2022,2022,Q2,June,6,Wednesday
16-06-2022,2022,Q2,June,6,Thursday
17-06-2022,2022,Q2,June,6,Friday
18-06-2022,2022,Q2,June,6,Saturday
19-06-2022,2022,Q2,June,6,Sunday
20-06-2022,2022,Q2,June,6,Monday
21-06-2022,2022,Q2,June,6,Tuesday
22-06-2022,2022,Q2,June,6,Wednesday
23-06-2022,2022,Q2,June,6,Thursday
24-06-2022,2022,Q2,June,6,Friday
25-06-2022,2022,Q2,June,6,Saturday
26-06-2022,2022,Q2,June,6,Sunday
27-06-2022,2022,Q2,June,6,Monday
28-06-2022,2022,Q2,June,6,Tuesday
29-06-2022,2022,Q2,June,6,Wednesday
30-06-2022,2022,Q2,June,6,Thursday
01-07-2022,2022,Q3,July,7,Friday
02-07-2022,2022,Q3,July,7,Saturday
03-07-2022,2022,Q3,July,7,Sunday
04-07-2022,2022,Q3,July,7,Monday
05-07-2022,2022,Q3,July,7,Tuesday
06-07-2022,2022,Q3,July,7,Wednesday
07-07-2022,2022,Q3,July,7,Thursday
08-07-2022,2022,Q3,July,7,Friday
09-07-2022,2022,Q3,July,7,Saturday
10-07-2022,2022,Q3,July,7,Sunday
11-07-2022,2022,Q3,July,7,Monday
12-07-2022,2022,Q3,July,7,Tuesday
13-07-2022,2022,Q3,July,7,Wednesday
14-07-2022,2022,Q3,July,7,Thursday
15-07-2022,2022,Q3,July,7,Friday
16-07-2022,2022,Q3,July,7,Saturday
17-07-2022,2022,Q3,July,7,Sunday
18-07-2022,2022,Q3,July,7,Monday
19-07-2022,2022,Q3,July,7,Tuesday
20-07-2022,2022,Q3,July,7,Wednesday
21-07-2022,2022,Q3,July,7,Thursday
22-07-2022,2022,Q3,July,7,Friday
23-07-2022,2022,Q3,July,7,Saturday
24-07-2022,2022,Q3,July,7,Sunday
25-07-2022,2022,Q3,July,7,Monday
26-07-2022,2022,Q3,July,7,Tuesday
27-07-2022,2022,Q3,July,7,Wednesday
28-07-2022,2022,Q3,July,7,Thursday
29-07-2022,2022,Q3,July,7,Friday
30-07-2022,2022,Q3,July,7,Saturday
31-07-2022,2022,Q3,July,7,Sunday
01-08-2022,2022,Q3,August,8,Monday
02-08-2022,2022,Q3,August,8,Tuesday
03-08-2022,2022,Q3,August,8,Wednesday
04-08-2022,2022,Q3,August,8,Thursday
05-08-2022,2022,Q3,August,8,Friday
06-08-2022,2022,Q3,August,8,Saturday
07-08-2022,2022,Q3,August,8,Sunday
08-08-2022,2022,Q3,August,8,Monday
09-08-2022,2022,Q3,August,8,Tuesday
10-08-2022,2022,Q3,August,8,Wednesday
11-08-2022,2022,Q3,August,8,Thursday
12-08-2022,2022,Q3,August,8,Friday
13-08-2022,2022,Q3,August,8,Saturday
14-08-2022,2022,Q3,August,8,Sunday
15-08-2022,2022,Q3,August,8,Monday
16-08-2022,2022,Q3,August,8,Tuesday
17-08-2022,2022,Q3,August,8,Wednesday
18-08-2022,2022,Q3,August,8,Thursday
19-08-2022,2022,Q3,August,8,Friday
20-08-2022,2022,Q3,August,8,Saturday
21-08-2022,2022,Q3,August,8,Sunday
22-08-2022,2022,Q3,August,8,Monday
23-08-2022,2022,Q3,August,8,Tuesday
24-08-2022,2022,Q3,August,8,Wednesday
25-08-2022,2022,Q3,August,8,Thursday
26-08-2022,2022,Q3,August,8,Friday
27-08-2022,2022,Q3,August,8,Saturday
28-08-2022,2022,Q3,August,8,Sunday
29-08-2022,2022,Q3,August,8,Monday
30-08-2022,2022,Q3,August,8,Tuesday
31-08-2022,2022,Q3,August,8,Wednesday
01-09-2022,2022,Q3,September,9,Thursday
02-09-2022,2022,Q3,September,9,Friday
03-09-2022,2022,Q3,September,9,Saturday
04-09-2022,2022,Q3,September,9,Sunday
05-09-2022,2022,Q3,September,9,Monday
06-09-2022,2022,Q3,September,9,Tuesday
07-09-2022,2022,Q3,September,9,Wednesday
08-09-2022,2022,Q3,September,9,Thursday
09-09-2022,2022,Q3,September,9,Friday
10-09-2022,2022,Q3,September,9,Saturday
11-09-2022,2022,Q3,September,9,Sunday
12-09-2022,2022,Q3,September,9,Monday
13-09-2022,2022,Q3,September,9,Tuesday
14-09-2022,2022,Q3,September,9,Wednesday
15-09-2022,2022,Q3,September,9,Thursday
16-09-2022,2022,Q3,September,9,Friday
17-09-2022,2022,Q3,September,9,Saturday
18-09-2022,2022,Q3,September,9,Sunday
19-09-2022,2022,Q3,September,9,Monday
20-09-2022,2022,Q3,September,9,Tuesday
21-09-2022,2022,Q3,September,9,Wednesday
22-09-2022,2022,Q3,September,9,Thursday
23-09-2022,2022,Q3,September,9,Friday
24-09-2022,2022,Q3,September,9,Saturday
25-09-2022,2022,Q3,September,9,Sunday
26-09-2022,2022,Q3,September,9,Monday
27-09-2022,2022,Q3,September,9,Tuesday
28-09-2022,2022,Q3,September,9,Wednesday
29-09-2022,2022,Q3,September,9,Thursday
30-09-2022,2022,Q3,September,9,Friday
01-10-2022,2022,Q4,October,10,Saturday
02-10-2022,2022,Q4,October,10,Sunday
03-10-2022,2022,Q4,October,10,Monday
04-10-2022,2022,Q4,October,10,Tuesday
05-10-2022,2022,Q4,October,10,Wednesday
06-10-2022,2022,Q4,October,10,Thursday
07-10-2022,2022,Q4,October,10,Friday
08-10-2022,2022,Q4,October,10,Saturday
09-10-2022,2022,Q4,October,10,Sunday
10-10-2022,2022,Q4,October,10,Monday
11-10-2022,2022,Q4,October,10,Tuesday
12-10-2022,2022,Q4,October,10,Wednesday
13-10-2022,2022,Q4,October,10,Thursday
14-10-2022,2022,Q4,October,10,Friday
15-10-2022,2022,Q4,October,10,Saturday
16-10-2022,2022,Q4,October,10,Sunday
17-10-2022,2022,Q4,October,10,Monday
18-10-2022,2022,Q4,October,10,Tuesday
19-10-2022,2022,Q4,October,10,Wednesday
20-10-2022,2022,Q4,October,10,Thursday
21-10-2022,2022,Q4,October,10,Friday
22-10-2022,2022,Q4,October,10,Saturday
23-10-2022,2022,Q4,October,10,Sunday
24-10-2022,2022,Q4,October,10,Monday
25-10-2022,2022,Q4,October,10,Tuesday
26-10-2022,2022,Q4,October,10,Wednesday
27-10-2022,2022,Q4,October,10,Thursday
28-10-2022,2022,Q4,October,10,Friday
29-10-2022,2022,Q4,October,10,Saturday
30-10-2022,2022,Q4,October,10,Sunday
31-10-2022,2022,Q4,October,10,Monday
01-11-2022,2022,Q4,November,11,Tuesday
02-11-2022,2022,Q4,November,11,Wednesday
03-11-2022,2022,Q4,November,11,Thursday
04-11-2022,2022,Q4,November,11,Friday
05-11-2022,2022,Q4,November,11,Saturday
06-11-2022,2022,Q4,November,11,Sunday
07-11-2022,2022,Q4,November,11,Monday
08-11-2022,2022,Q4,November,11,Tuesday
09-11-2022,2022,Q4,November,11,Wednesday
10-11-2022,2022,Q4,November,11,Thursday
11-11-2022,2022,Q4,November,11,Friday
12-11-2022,2022,Q4,November,11,Saturday
13-11-2022,2022,Q4,November,11,Sunday
14-11-2022,2022,Q4,November,11,Monday
15-11-2022,2022,Q4,November,11,Tuesday
16-11-2022,2022,Q4,November,11,Wednesday
17-11-2022,2022,Q4,November,11,Thursday
18-11-2022,2022,Q4,November,11,Friday
19-11-2022,2022,Q4,November,11,Saturday
20-11-2022,2022,Q4,November,11,Sunday
21-11-2022,2022,Q4,November,11,Monday
22-11-2022,2022,Q4,November,11,Tuesday
23-11-2022,2022,Q4,November,11,Wednesday
24-11-2022,2022,Q4,November,11,Thursday
25-11-2022,2022,Q4,November,11,Friday
26-11-2022,2022,Q4,November,11,Saturday
27-11-2022,2022,Q4,November,11,Sunday
28-11-2022,2022,Q4,November,11,Monday
29-11-2022,2022,Q4,November,11,Tuesday
30-11-2022,2022,Q4,November,11,Wednesday
01-12-2022,2022,Q4,December,12,Thursday
02-12-2022,2022,Q4,December,12,Friday
03-12-2022,2022,Q4,December,12,Saturday
04-12-2022,2022,Q4,December,12,Sunday
05-12-2022,2022,Q4,December,12,Monday
06-12-2022,2022,Q4,December,12,Tuesday
07-12-2022,2022,Q4,December,12,Wednesday
08-12-2022,2022,Q4,December,12,Thursday
09-12-2022,2022,Q4,December,12,Friday
10-12-2022,2022,Q4,December,12,Saturday
11-12-2022,2022,Q4,December,12,Sunday
12-12-2022,2022,Q4,December,12,Monday
13-12-2022,2022,Q4,December,12,Tuesday
14-12-2022,2022,Q4,December,12,Wednesday
15-12-2022,2022,Q4,December,12,Thursday
16-12-2022,2022,Q4,December,12,Friday
17-12-2022,2022,Q4,December,12,Saturday
18-12-2022,2022,Q4,December,12,Sunday
19-12-2022,2022,Q4,December,12,Monday
20-12-2022,2022,Q4,December,12,Tuesday
21-12-2022,2022,Q4,December,12,Wednesday
22-12-2022,2022,Q4,December,12,Thursday
23-12-2022,2022,Q4,December,12,Friday
24-12-2022,2022,Q4,December,12,Saturday
25-12-2022,2022,Q4,December,12,Sunday
26-12-2022,2022,Q4,December,12,Monday
27-12-2022,2022,Q4,December,12,Tuesday
28-12-2022,2022,Q4,December,12,Wednesday
29-12-2022,2022,Q4,December,12,Thursday
30-12-2022,2022,Q4,December,12,Friday
31-12-2022,2022,Q4,December,12,Saturday
01-01-2023,2023,Q1,January,1,Sunday
02-01-2023,2023,Q1,January,1,Monday
03-01-2023,2023,Q1,January,1,Tuesday
04-01-2023,2023,Q1,January,1,Wednesday
05-01-2023,2023,Q1,January,1,Thursday
06-01-2023,2023,Q1,January,1,Friday
07-01-2023,2023,Q1,January,1,Saturday
08-01-2023,2023,Q1,January,1,Sunday
09-01-2023,2023,Q1,January,1,Monday
10-01-2023,2023,Q1,January,1,Tuesday
11-01-2023,2023,Q1,January,1,Wednesday
12-01-2023,2023,Q1,January,1,Thursday
13-01-2023,2023,Q1,January,1,Friday
14-01-2023,2023,Q1,January,1,Saturday
15-01-2023,2023,Q1,January,1,Sunday
16-01-2023,2023,Q1,January,1,Monday
17-01-2023,2023,Q1,January,1,Tuesday
18-01-2023,2023,Q1,January,1,Wednesday
19-01-2023,2023,Q1,January,1,Thursday
20-01-2023,2023,Q1,January,1,Friday
21-01-2023,2023,Q1,January,1,Saturday
22-01-2023,2023,Q1,January,1,Sunday
23-01-2023,2023,Q1,January,1,Monday
24-01-2023,2023,Q1,January,1,Tuesday
25-01-2023,2023,Q1,January,1,Wednesday
26-01-2023,2023,Q1,January,1,Thursday
27-01-2023,2023,Q1,January,1,Friday
28-01-2023,2023,Q1,January,1,Saturday
29-01-2023,2023,Q1,January,1,Sunday
30-01-2023,2023,Q1,January,1,Monday
31-01-2023,2023,Q1,January,1,Tuesday
01-02-2023,2023,Q1,February,2,Wednesday
02-02-2023,2023,Q1,February,2,Thursday
03-02-2023,2023,Q1,February,2,Friday
04-02-2023,2023,Q1,February,2,Saturday
05-02-2023,2023,Q1,February,2,Sunday
06-02-2023,2023,Q1,February,2,Monday
07-02-2023,2023,Q1,February,2,Tuesday
08-02-2023,2023,Q1,February,2,Wednesday
09-02-2023,2023,Q1,February,2,Thursday
10-02-2023,2023,Q1,February,2,Friday
11-02-2023,2023,Q1,February,2,Saturday
12-02-2023,2023,Q1,February,2,Sunday
13-02-2023,2023,Q1,February,2,Monday
14-02-2023,2023,Q1,February,2,Tuesday
